goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_title,goods_num,gender,goods_page,goods_comments,goods_url
R96 CL CAP 运动帽,CF9629,¥169,0,白/白/深银灰,"['OSFW', 'OSFM']","['这顶帽子，配Climalite汗带，搭扣式背带。缀反光细节。', 'Climalite面料', '中弧度预成型帽檐', '可调节搭扣式背带', '反光细节']","['https://img.adidas.com.cn/resources/2019/7/1/15619758623341297_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/7/1/15619758560108438_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/7/1/15619758720681313_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/7/1/15619758580479175_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/7/1/15619758644946362_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/7/1/15619758694234701_2000X2000.jpg']",中性  运动表现  跑步,1,men,0,[],https://www.adidas.com.cn/item/CF9629?locale=zh_CN
R96 CL CAP 运动帽,CF9630,¥169,0,黑/黑/黑,"['OSFW', 'OSFM']","['这顶帽子，配Climalite汗带，搭扣式背带。缀反光细节。', 'Climalite面料', '中弧度预成型帽檐', '可调节搭扣式背带', '反光细节']","['https://img.adidas.com.cn/resources/2019/7/1/15619759088662191_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/7/1/15619758979656043_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/7/1/15619758998269732_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/7/1/15619759020081673_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/7/1/15619759063797366_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/7/1/15619758943001489_2000X2000.jpg']",中性  运动表现  跑步,2,men,0,[],https://www.adidas.com.cn/item/CF9630?locale=zh_CN
W WL TRUCKER 运动帽,EA0367,¥169,0,黑/黑,['OSFW'],[],"['https://img.adidas.com.cn/resources/2019/7/1/15619757487235264_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/7/1/15619757569659290_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/7/1/15619757442241745_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/7/1/15619757534164061_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/7/1/15619757461168098_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/7/1/15619757505626309_2000X2000.jpg']",女子  运动表现  训练,3,men,0,[],https://www.adidas.com.cn/item/EA0367?locale=zh_CN
TEN TIEBAND REV 运动头带,EA0403,¥99,0,浅绿/碳黑/黑,['OSFM'],"['这款网球发带，旨在伴你比赛。采用Climalite面料打造，正面缀adidas运动徽标。', 'Climalite汗带', '正面缀adidas运动徽标', '宽度：6.5厘米；上沿长度：89厘米']","['https://img.adidas.com.cn/resources/2019/7/1/15619757149665958_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/7/1/15619757105709899_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/7/1/15619757167685234_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/7/1/15619757188857552_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/7/1/15619757123536896_2000X2000.jpg']",中性  运动表现  网球,4,men,0,"[{'goods_comment_star': 5, 'goods_comment_time': '2019/03/30', 'goods_comment_comment': '相当不错的购物体验，帅气十足！'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/03/27', 'goods_comment_comment': '舒服舒服舒服舒服舒服舒服舒服舒服舒服舒服舒服舒服'}, {'goods_comment_star': 4, 'goods_comment_time': '2019/03/24', 'goods_comment_comment': '很好很好很好很好很好很好很好很好'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/03/22', 'goods_comment_comment': '网球明星费德勒的专属标志性，阿迪红色头带，好看，试戴了一会感觉不错～～～～'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/03/20', 'goods_comment_comment': '不错不错，质量没的说，支持阿迪！！！'}]",https://www.adidas.com.cn/item/EA0403?locale=zh_CN
AB BEANIE 橄榄球帽子,ED0977,¥199,0,黑,['OSFM'],[],"['https://img.adidas.com.cn/resources/2019/7/1/15619759001187360_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/7/1/15619759098391722_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/7/1/1561975911729371_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/7/1/15619759020576906_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/7/1/156197590505741_2000X2000.jpg']",男子  运动表现  橄榄球,5,men,0,[],https://www.adidas.com.cn/item/ED0977?locale=zh_CN
VINTAGE BALLCAP 帽子,ED8020,¥299,0,传奇墨水蓝,"['OSFW', 'OSFM']",[],"['https://img.adidas.com.cn/resources/2019/7/1/15619762385138386_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/7/1/15619762504835613_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/7/1/15619762430897772_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/7/1/15619762404432622_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/7/1/15619762357165571_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/7/1/15619762454144141_2000X2000.jpg']",中性  ORIGINALS,6,men,0,[],https://www.adidas.com.cn/item/ED8020?locale=zh_CN
ST CAM BUCKET 渔夫帽,ED8045,¥349,0,黑,"['OSFW', 'OSFM']",[],"['https://img.adidas.com.cn/resources/2019/7/1/15619762792899839_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/7/1/15619762841725043_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/7/1/15619762810024895_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/7/1/15619762729454969_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/7/1/15619762859451416_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/7/1/15619762758828382_2000X2000.jpg']",中性  ORIGINALS,7,men,0,[],https://www.adidas.com.cn/item/ED8045?locale=zh_CN
WASHED DAD CAP 帽子,ED8053,¥249,0,黑,"['OSFW', 'OSFM']",[],"['https://img.adidas.com.cn/resources/2019/7/1/15619763117308466_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/7/1/15619763081875632_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/7/1/15619763098413048_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/7/1/1561976302385683_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/7/1/15619762992175887_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/7/1/15619763058214711_2000X2000.jpg']",中性  ORIGINALS,8,men,0,[],https://www.adidas.com.cn/item/ED8053?locale=zh_CN
AF TRUCKER TREF 帽子,ED9366,¥199,0,学院蓝,"['OSFW', 'OSFM']","['这款卡车司机帽，经典“对对碰”。中间缀大号三叶草绣标，帽檐略带弧形。采用棉面料搭配网材幅片，含按扣后带。', '棉', '预成型弧形帽檐', '可调节按扣搭扣', '网材后片']","['https://img.adidas.com.cn/resources/2019/7/1/15619763125774185_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/7/1/15619763267789348_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/7/1/15619763144172618_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/7/1/15619763161736256_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/7/1/15619763214956776_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/7/1/15619763186464422_2000X2000.jpg']",中性  ORIGINALS,9,men,0,"[{'goods_comment_star': 5, 'goods_comment_time': '2019/04/21', 'goods_comment_comment': ''}, {'goods_comment_star': 5, 'goods_comment_time': '2019/06/30', 'goods_comment_comment': '颜色不错，超透气，很舒适。不错不错'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/06/22', 'goods_comment_comment': '白色帽子，配买的Tee，好搭配，完美！质量也杠杠的！'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/06/21', 'goods_comment_comment': '给老爸买的拖鞋，老爸穿了说很舒服很喜欢，我心里也开心。'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/06/19', 'goods_comment_comment': '自己的头围有点小 所以要往回扣一个扣 戴起来不错 帅就完事儿了'}]",https://www.adidas.com.cn/item/ED9366?locale=zh_CN
SB CLASSIC TRE 帽子,ED9381,¥249,0,酱紫,"['OSFW', 'OSFM']","['力求展现你的adidas元气。这款平檐帽子，承袭adidas Originals经典风格，正面缀大号刺绣三叶草徽标。采用拉伸棉质面料，搭配可调节按扣，佩戴舒适。', '棉', '平檐', '可调节按扣带', '浮面刺绣三叶草徽标']","['https://img.adidas.com.cn/resources/2019/7/1/1561976318029879_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/7/1/15619763228093031_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/7/1/15619763257364089_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/7/1/15619763278714531_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/7/1/15619763319344711_2000X2000.jpg', 'https://img.adidas.com.cn/resources/2019/7/1/15619763199034106_2000X2000.jpg']",中性  ORIGINALS,10,men,0,"[{'goods_comment_star': 5, 'goods_comment_time': '2019/06/27', 'goods_comment_comment': '挺不错的，就是带上有点热是真的，其他还好，款式手感都还不错'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/06/24', 'goods_comment_comment': '很不错，特别好，我永远喜欢阿迪达斯'}, {'goods_comment_star': 3, 'goods_comment_time': '2019/05/31', 'goods_comment_comment': '挺不错的帽子，质量很好，就是有点太厚了，只适合冬天戴。'}, {'goods_comment_star': 3, 'goods_comment_time': '2019/05/07', 'goods_comment_comment': '帽子感觉很一般，戴上去没有让我特别的惊艳，一般'}, {'goods_comment_star': 5, 'goods_comment_time': '2019/03/27', 'goods_comment_comment': '帽子很棒，质量看起来也很好。值得推荐'}]",https://www.adidas.com.cn/item/ED9381?locale=zh_CN
