goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_num,gender,goods_page,goods_url
TM Cap,1079-0348-OS,$29.99,$0,Heather Grey/Black,['all'],"['100% cotton twill', 'Plastic snapback', 'Stitched eyelets', 'Signature striped front panel liner', 'Engineered red and white striped rear tab', 'Custom Herschel Supply Company embroidered felt patch']","['https://herschel.com/content/dam/herschel/products/1079/1079-0348-OS_01.jpg', 'https://herschel.com/content/dam/herschel/products/1079/1079-0348-OS_02.jpg', 'https://herschel.com/content/dam/herschel/products/1079/1079-0348-OS_03.jpg']",1,mens,1,https://herschel.com/shop/headwear/tm-cap?v=1079-0348-OS
Watch Beanie,1146-0001-OS,$19.99,$0,Black,['all'],"['Ribbed knit', '100% acrylic', '7"" cuffed length', 'Classic woven tab']",['https://herschel.com/content/dam/herschel/products/1146/1146-0001-OS_01.jpg'],33,mens,1,https://herschel.com/shop/headwear/watch-beanie?v=1146-0001-OS
Elmer Beanie Print,1145-1007-OS,$24.99,$0,Dark Olive,['all'],"['Flat knit', '100% acrylic', '8.25"" cuffed length', 'Screen printed Herschel Supply Company branding']",['https://herschel.com/content/dam/herschel/products/1145/1145-1007-OS_01.jpg'],32,mens,1,https://herschel.com/shop/headwear/elmer-beanie-print?v=1145-1007-OS
Elmer Beanie,1065-1008-OS,$19.99,$0,Dark Olive/Lime Green,['all'],"['100% acrylic', '8.25"" cuffed length', 'Woven label']",['https://herschel.com/content/dam/herschel/products/1065/1065-1008-OS_01.jpg'],35,mens,1,https://herschel.com/shop/headwear/elmer-beanie?v=1065-1008-OS
Watch Beanie,1146-0713-OS,$19.99,$0,Peacoat,['all'],"['Ribbed knit', '100% acrylic', '7"" cuffed length', 'Classic woven tab']",['https://herschel.com/content/dam/herschel/products/1146/1146-0713-OS_01.jpg'],33,mens,1,https://herschel.com/shop/headwear/watch-beanie?v=1146-0713-OS
Austin Cap,1110-0348-OS,$29.99,$0,Heathered Grey,['all'],"['100% cotton twill', 'Plastic snapback', 'Stitched eyelets', 'Signature striped front panel liner', 'Engineered red and white striped rear tab', 'Herschel 3D embroidery']","['https://herschel.com/content/dam/herschel/products/1110/1110-0348-OS_01.jpg', 'https://herschel.com/content/dam/herschel/products/1110/1110-0348-OS_02.jpg', 'https://herschel.com/content/dam/herschel/products/1110/1110-0348-OS_03.jpg']",36,mens,1,https://herschel.com/shop/headwear/austin-cap?v=1110-0348-OS
Watch Beanie,1146-1017-OS,$19.99,$0,Plum,['all'],"['Ribbed knit', '100% acrylic', '7"" cuffed length', 'Classic woven tab']",['https://herschel.com/content/dam/herschel/products/1146/1146-1017-OS_01.jpg'],33,mens,1,https://herschel.com/shop/headwear/watch-beanie?v=1146-1017-OS
Austin Cap,1110-0685-OS,$29.99,$0,Arrowwood,['all'],"['100% cotton twill', 'Plastic snapback', 'Stitched eyelets', 'Signature striped front panel liner', 'Engineered red and white striped rear tab', 'Herschel 3D embroidery']","['https://herschel.com/content/dam/herschel/products/1110/1110-0685-OS_01.jpg', 'https://herschel.com/content/dam/herschel/products/1110/1110-0685-OS_02.jpg', 'https://herschel.com/content/dam/herschel/products/1110/1110-0685-OS_03.jpg']",36,mens,1,https://herschel.com/shop/headwear/austin-cap?v=1110-0685-OS
Watch Beanie,1146-1007-OS,$19.99,$0,Dark Olive,['all'],"['Ribbed knit', '100% acrylic', '7"" cuffed length', 'Classic woven tab']",['https://herschel.com/content/dam/herschel/products/1146/1146-1007-OS_01.jpg'],33,mens,1,https://herschel.com/shop/headwear/watch-beanie?v=1146-1007-OS
Sylas Cap | Youth,1123-0004-OS,$19.99,$0,Navy,['all'],"['100% washed slub cotton twill', 'Pre-curved brim', 'Self-fabric strap with ID logo embossed brushed metal clip', 'Stitched eyelets', 'Signature striped front panel liner', 'Engineered red and white striped rear tab', 'HSCO embroidered flag emblem']","['https://herschel.com/content/dam/herschel/products/1123/1123-0004-OS_01.jpg', 'https://herschel.com/content/dam/herschel/products/1123/1123-0004-OS_02.jpg', 'https://herschel.com/content/dam/herschel/products/1123/1123-0004-OS_03.jpg']",34,mens,1,https://herschel.com/shop/headwear/sylas-cap-youth?v=1123-0004-OS
Sylas Cap | Youth,1123-0847-OS,$19.99,$0,Moonstruck,['all'],"['100% washed slub cotton twill', 'Pre-curved brim', 'Self-fabric strap with ID logo embossed brushed metal clip', 'Stitched eyelets', 'Signature striped front panel liner', 'Engineered red and white striped rear tab', 'HSCO embroidered flag emblem']","['https://herschel.com/content/dam/herschel/products/1123/1123-0847-OS_01.jpg', 'https://herschel.com/content/dam/herschel/products/1123/1123-0847-OS_02.jpg', 'https://herschel.com/content/dam/herschel/products/1123/1123-0847-OS_03.jpg']",34,mens,1,https://herschel.com/shop/headwear/sylas-cap-youth?v=1123-0847-OS
