goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_num,gender,goods_page,goods_url
Mustard Original Slogan 7 Panel Cap,617129887,£7.99,£0,Mustard,['onesize'],"['Top off your look with this mustard slogan cap.', 'Woven canvas fabric', ""'Original' embroidered slogan"", 'Curved peak', '7 panels', 'Clip fastening', '100% Cotton.']","['https://media3.newlookassets.com/i/newlook/617129887.jpg?strip=true&qlt=80&w=1400', 'https://media2.newlookassets.com/i/newlook/617129887D1.jpg?strip=true&qlt=80&w=1400', 'https://media3.newlookassets.com/i/newlook/617129887D2.jpg?strip=true&qlt=80&w=1400']",1,mens,2,https://www.newlook.com/uk/mens/accessories/mustard-original-slogan-7-panel-cap/p/617129887
Black Fair Isle Bobble Hat ,589365909,£3.00,£7.99,Black Pattern,['onesize'],"['Complement your outfit on cooler days with this bobble hat.', 'Fair Isle pattern', 'Turn-up hem', 'Soft knit fabric', 'Pom pom top', '100% Acrylic.', 'Machine washable.']","['https://media3.newlookassets.com/i/newlook/589365909.jpg?strip=true&qlt=80&w=1400', 'https://media2.newlookassets.com/i/newlook/589365909D1.jpg?strip=true&qlt=80&w=1400']",10,mens,2,https://www.newlook.com/uk/mens/accessories/black-fair-isle-bobble-hat-/p/589365909
Olive Embroidered Circle 6 Panel Cap,617022616,£7.99,£0,Stone,['onesize'],"['Top off your look with this stone embroidered cap.', 'Woven canvas fabric', 'Circle embroidery', 'Curved peak', '6 panels', 'Rip-tape fastening', 'Shell: 100% Cotton.', 'Band: 83% Polyester, 17% Cotton.']","['https://media2.newlookassets.com/i/newlook/617022616.jpg?strip=true&qlt=80&w=1400', 'https://media3.newlookassets.com/i/newlook/617022616D1.jpg?strip=true&qlt=80&w=1400', 'https://media2.newlookassets.com/i/newlook/617022616D2.jpg?strip=true&qlt=80&w=1400']",3,mens,2,https://www.newlook.com/uk/mens/accessories/stone-embroidered-circle-6-panel-cap/p/617022616
Rust Suedette LNDN Slogan Cap,617129425,£7.99,£0,Rust,['onesize'],"['Top off your look with this rust slogan cap.', 'Soft suedette fabric', ""'LNDN' embroidered neon slogan"", 'Curved peak', '6 panels', 'Rip tape fastening', 'Whole: 100% Polyester', 'Band: 83% Polyester, 17% Cotton.']","['https://media3.newlookassets.com/i/newlook/617129425.jpg?strip=true&qlt=80&w=1400', 'https://media2.newlookassets.com/i/newlook/617129425D1.jpg?strip=true&qlt=80&w=1400', 'https://media3.newlookassets.com/i/newlook/617129425D2.jpg?strip=true&qlt=80&w=1400']",4,mens,2,https://www.newlook.com/uk/mens/accessories/rust-suedette-lndn-slogan-cap/p/617129425
Stone N Embroidered Cap ,611371516,£3.00,£7.99,Stone,['onesize'],"[""Add a personalise touch to your look with this 'N' initial cap."", ""'N' initial embroidered front"", 'Curved peak', 'Soft finish', 'Item 1: 54% Viscose, 46% Wool.', 'Item 2: 100% Cotton.', 'Band: 100% Polyester.']","['https://media2.newlookassets.com/i/newlook/611371516.jpg?strip=true&qlt=80&w=1400', 'https://media3.newlookassets.com/i/newlook/611371516D1.jpg?strip=true&qlt=80&w=1400', 'https://media2.newlookassets.com/i/newlook/611371516D2.jpg?strip=true&qlt=80&w=1400']",8,mens,2,https://www.newlook.com/uk/mens/accessories/stone-n-embroidered-cap-/p/611371516
Navy Badge Front Beanie,589354141,£2.00,£7.99,Navy,['onesize'],"['Top off your casual looks with this laid-back beanie.', 'Ribbed design', 'Badge front', 'Turn-up hem', '100% Acrylic', 'Machine washable.']","['https://media3.newlookassets.com/i/newlook/589354141.jpg?strip=true&qlt=80&w=1400', 'https://media2.newlookassets.com/i/newlook/589354141M1.jpg?strip=true&qlt=80&w=1400']",11,mens,2,https://www.newlook.com/uk/mens/accessories/navy-badge-front-beanie/p/589354141
Multicoloured Christmas Snowman Beanie Hat,586619899,£3.00,£7.99,Multi Colour,['onesize'],"['Get in the Christmas spirit with this festive snowman hat.', 'Pom pom snowman', 'Turn-up design', 'Ribbed knit fabric', '100% Acrylic.', 'Machine washable.']","['https://media2.newlookassets.com/i/newlook/586619899.jpg?strip=true&qlt=80&w=1400', 'https://media3.newlookassets.com/i/newlook/586619899D1.jpg?strip=true&qlt=80&w=1400']",9,mens,2,https://www.newlook.com/uk/mens/accessories/multicoloured-christmas-snowman-beanie-hat/p/586619899
Black Twill Cap,628360801,£6.99,£0,Black,['onesize'],"['Add the finishing touch to your look with this black twill cap.', 'Curved peak', 'Rip tape fastening', 'Twill finish', '100% Cotton.', 'Machine washable.']","['https://media2.newlookassets.com/i/newlook/628360801.jpg?strip=true&qlt=80&w=1400', 'https://media3.newlookassets.com/i/newlook/628360801D1.jpg?strip=true&qlt=80&w=1400', 'https://media2.newlookassets.com/i/newlook/628360801D2.jpg?strip=true&qlt=80&w=1400']",5,mens,2,https://www.newlook.com/uk/mens/accessories/black-twill-cap/p/628360801
Olive Embroidered Circle 6 Panel Cap,617022601,£7.99,£0,Black,['onesize'],"['Top off your look with this black embroidered cap.', 'Woven canvas fabric', 'Circle embroidery', 'Curved peak', '6 panels', 'Rip-tape fastening', 'Shell: 100% Cotton.', 'Band: 83% Polyester, 17% Cotton.']","['https://media3.newlookassets.com/i/newlook/617022601.jpg?strip=true&qlt=80&w=1400', 'https://media2.newlookassets.com/i/newlook/617022601D1.jpg?strip=true&qlt=80&w=1400', 'https://media3.newlookassets.com/i/newlook/617022601D2.jpg?strip=true&qlt=80&w=1400']",3,mens,2,https://www.newlook.com/uk/mens/accessories/black-embroidered-circle-6-panel-cap/p/617022601
Navy Badge Front Beanie,589354116,£2.00,£7.99,Stone,['onesize'],"['Top off your casual looks with this laid-back beanie.', 'Ribbed design', 'Badge front', 'Turn-up hem', '100% Acrylic.', 'Machine washable.']","['https://media2.newlookassets.com/i/newlook/589354116.jpg?strip=true&qlt=80&w=1400', 'https://media3.newlookassets.com/i/newlook/589354116D1.jpg?strip=true&qlt=80&w=1400']",11,mens,2,https://www.newlook.com/uk/mens/accessories/stone-badge-front-beanie/p/589354116
