goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_num,gender,goods_page,goods_url
BASIC TEXTURED HAT,https://www.zara.com/ww/en/basic-textured-hat-p00049303.html,€7.99,€0,Black,['M'],['Basic textured hat made of cotton.'],"['https://static.zara.net/photos///2018/I/0/2/p/0049/303/800/2/c-191-0-2048-3072/w/1024/0049303800_1_1_1.jpg?ts=1531493935950', 'https://static.zara.net/photos///2018/I/0/2/p/0049/303/800/2/c-431-0-2048-3072/w/1024/0049303800_2_1_1.jpg?ts=1531493929670']",1,man,1,https://www.zara.com/ww/en/basic-textured-hat-p00049303.html
TEXTURED PIQUÉ CAP,https://www.zara.com/ww/en/textured-piqu%C3%A9-cap-p09065453.html,€5.99,€0,Black,['M'],['Flat cap with an elastic strap in the back.'],"['https://static.zara.net/photos///2019/V/0/2/p/9065/453/800/2/w/1024/9065453800_1_1_1.jpg?ts=1554742657917', 'https://static.zara.net/photos///2019/V/0/2/p/9065/453/800/2/w/1024/9065453800_2_1_1.jpg?ts=1554742649633']",3,man,1,https://www.zara.com/ww/en/textured-piqu%C3%A9-cap-p09065453.html
SLOGAN RAIN HAT,https://www.zara.com/ww/en/slogan-rain-hat-p03306400.html,€9.99,€0,Grey,['M'],['Hat with a thin brim and contrast slogan detail on the front.'],"['https://static.zara.net/photos///2019/V/0/2/p/3306/400/802/2/w/1024/3306400802_1_1_1.jpg?ts=1546935896368', 'https://static.zara.net/photos///2019/V/0/2/p/3306/400/802/2/w/1024/3306400802_2_1_1.jpg?ts=1546935886182']",2,man,1,https://www.zara.com/ww/en/slogan-rain-hat-p03306400.html
CAP WITH CONTRAST SLOGAN,https://www.zara.com/ww/en/cap-with-contrast-slogan-p09065418.html,€7.99,€0,Khaki,['M'],['Peak cap with a contrast slogan print around the edge and adjustable fastening.'],"['https://static.zara.net/photos///2019/V/0/2/p/9065/418/505/2/w/1024/9065418505_1_1_1.jpg?ts=1551289294683', 'https://static.zara.net/photos///2019/V/0/2/p/9065/418/505/2/w/1024/9065418505_2_1_1.jpg?ts=1550071357706']",6,man,1,https://www.zara.com/ww/en/cap-with-contrast-slogan-p09065418.html
STRAW HAT WITH WOVEN BAND,https://www.zara.com/ww/en/straw-hat-with-woven-band-p07150547.html,€6.99,€0,camel,"['6-12months(48cm)', '12-24months(50cm)', '2-4years(51cm)']",['Straw hat with coloured woven band.'],"['https://static.zara.net/photos///2019/V/0/3/p/7150/547/707/2/w/1024/7150547707_1_1_1.jpg?ts=1551378389137', 'https://static.zara.net/photos///2019/V/0/3/p/7150/547/707/2/w/1024/7150547707_2_1_1.jpg?ts=1551378381308']",1,babygirl,5,https://www.zara.com/ww/en/straw-hat-with-woven-band-p07150547.html
SLOGAN-PRINTED CYCLING CAP,https://www.zara.com/ww/en/slogan-printed-cycling-cap-p09065421.html,€7.99,€0,Blue,['M'],['Peak cap with a contrast slogan print.'],"['https://static.zara.net/photos///2019/V/0/2/p/9065/421/400/2/w/1024/9065421400_1_1_1.jpg?ts=1550071451803', 'https://static.zara.net/photos///2019/V/0/2/p/9065/421/400/2/w/1024/9065421400_2_1_1.jpg?ts=1550071439498']",5,man,1,https://www.zara.com/ww/en/slogan-printed-cycling-cap-p09065421.html
RIBBED POMPOM HAT,https://www.zara.com/ww/en/ribbed-pompom-hat-p04373549.html,€5.99,€0,Ecru,"['6-12months', '12-24months', '2-4years']",['Ribbed hat with ties and pompom appliqués.'],"['https://static.zara.net/photos///2019/V/0/3/p/4373/549/712/6/w/1024/4373549712_2_10_1.jpg?ts=1549477921778', 'https://static.zara.net/photos///2019/V/0/3/p/4373/549/712/6/w/1024/4373549712_1_1_1.jpg?ts=1549477917082', 'https://static.zara.net/photos///2019/V/0/3/p/4373/549/712/6/w/1024/4373549712_2_1_1.jpg?ts=1549477909978']",11,babygirl,5,https://www.zara.com/ww/en/ribbed-pompom-hat-p04373549.html
STRAW HAT WITH WOVEN BAND,https://www.zara.com/ww/en/straw-hat-with-woven-band-p07150547.html,€6.99,€0,camel,"['6-12months(48cm)', '12-24months(50cm)', '2-4years(51cm)']",['Straw hat with coloured woven band.'],"['https://static.zara.net/photos///2019/V/0/3/p/7150/547/707/2/w/1024/7150547707_1_1_1.jpg?ts=1551378389137', 'https://static.zara.net/photos///2019/V/0/3/p/7150/547/707/2/w/1024/7150547707_2_1_1.jpg?ts=1551378381308']",1,babyboy,6,https://www.zara.com/ww/en/straw-hat-with-woven-band-p07150547.html
RIBBED BEANIE WITH LABEL,https://www.zara.com/ww/en/ribbed-beanie-with-label-p04373548.html,€3.99,€0,Grey marl,"['1-6months', '6-12months']",['Ribbed beanie featuring a turn-up brim with a label appliqué.'],"['https://static.zara.net/photos///2019/V/0/3/p/4373/548/803/2/w/1024/4373548803_1_1_1.jpg?ts=1547816130916', 'https://static.zara.net/photos///2019/V/0/3/p/4373/548/803/2/w/1024/4373548803_2_1_1.jpg?ts=1547816123105']",9,babygirl,5,https://www.zara.com/ww/en/ribbed-beanie-with-label-p04373548.html
KNIT HAT WITH CHIN STRAPS,https://www.zara.com/ww/en/knit-hat-with-chin-straps-p01323526.html,€5.99,€0,Ecru,"['1-6months', '6-12months']",['Knit hat with elf appliqués. '],"['https://static.zara.net/photos///2019/V/0/3/p/1323/526/712/2/w/1024/1323526712_1_1_1.jpg?ts=1550750355307', 'https://static.zara.net/photos///2019/V/0/3/p/1323/526/712/2/w/1024/1323526712_2_1_1.jpg?ts=1550750347018']",8,babygirl,5,https://www.zara.com/ww/en/knit-hat-with-chin-straps-p01323526.html
