goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_num,gender,goods_page,goods_url
【男女同款】CONVERSE RENEW DAD CAP,10018574212,¥219.00,¥0,小麦色,['all'],[],"['https://image.converse.com.cn/resources/product/10018574212/10018574212_1L_NEW.png?201906200100', 'https://image.converse.com.cn/resources/product/10018574212/10018574212_2S_NEW.png?201906200100']",1,men,1,https://www.converse.com.cn/product/10018574212/detail.htm
【男女同款】Tipoff Chuck Patch Baseball HPS,10008476651,¥109.00,¥0,海岸粉,['all'],"['面料材质舒适，佩戴贴合头围', '可调节式扣带自由调整松紧程度', '正面All Star圆形logo定格经典', '固定弧形帽檐']","['https://image.converse.com.cn/resources/product/10008476651/10008476651_1L_NEW.png?201906200100', 'https://image.converse.com.cn/resources/product/10008476651/10008476651_2S_NEW.png?201906200100']",2,men,1,https://www.converse.com.cn/product/10008476651/detail.htm
【男女同款】Chuck Patch Refresh Snapback,10017292424,¥199.00,¥0,靛蓝色,['all'],"['面料材质舒适，佩戴贴合头围', '刺绣Chuck Taylor All Star贴片饰以绒线星星', '有型帽顶和平整帽檐', '六片式拼接帽子结合背面扣带设计提升贴合感受']","['https://image.converse.com.cn/resources/product/10017292424/10017292424_1L_NEW.png?201906200100', 'https://image.converse.com.cn/resources/product/10017292424/10017292424_2S_NEW.png?201906200100']",3,men,1,https://www.converse.com.cn/product/10017292424/detail.htm
【男女同款】Chuck Patch Refresh Snapback,10017292102,¥199.00,¥0,雪白色,['all'],"['面料材质舒适，佩戴贴合头围', '刺绣Chuck Taylor All Star贴片饰以绒线星星', '有型帽顶和平整帽檐', '六片式拼接帽子结合背面扣带设计提升贴合感受']","['https://image.converse.com.cn/resources/product/10017292102/10017292102_1L_NEW.png?201906200100', 'https://image.converse.com.cn/resources/product/10017292102/10017292102_2S_NEW.png?201906200100']",4,men,1,https://www.converse.com.cn/product/10017292102/detail.htm
【男女同款】Chuck Patch Refresh Snapback,10017292001,¥199.00,¥0,墨黑色,['all'],"['面料材质舒适，佩戴贴合头围', '刺绣Chuck Taylor All Star贴片饰以绒线星星', '有型帽顶和平整帽檐', '六片式拼接帽子结合背面扣带设计提升贴合感受']","['https://image.converse.com.cn/resources/product/10017292001/10017292001_1L_NEW.png?201906200100', 'https://image.converse.com.cn/resources/product/10017292001/10017292001_2S_NEW.png?201906200100']",5,men,1,https://www.converse.com.cn/product/10017292001/detail.htm
【男女同款】Bucket,10017299001,¥199.00,¥0,墨黑色,['all'],"['简约的版型佩戴舒适，兼具经典与休闲气质', '面料材质触感细腻柔软，打造舒适佩戴感受', '正面星箭logo升级外观层次']","['https://image.converse.com.cn/resources/product/10017299001/10017299001_1L_NEW.png?201906200100', 'https://image.converse.com.cn/resources/product/10017299001/10017299001_2S_NEW.png?201906200100']",6,men,1,https://www.converse.com.cn/product/10017299001/detail.htm
【男女同款】APAC Baseball Star,10017710819,¥199.00,¥0,橘色/篝火橙,['all'],"['甄选舒适材质与立体剪裁，佩戴贴合头围', '六片式拼接设计升级经典外观层次', '可调节式扣带自由调整松紧程度', '正面醒目的刺绣星星标志，饰以撞色镶边']","['https://image.converse.com.cn/resources/product/10017710819/10017710819_1L_NEW.png?201906200100', 'https://image.converse.com.cn/resources/product/10017710819/10017710819_2S_NEW.png?201906200100']",7,men,1,https://www.converse.com.cn/product/10017710819/detail.htm
【男女同款】APAC Baseball Star,10017710424,¥199.00,¥0,暗暗夜黑色/爱琴海风暴蓝,['all'],"['甄选舒适材质与立体剪裁，佩戴贴合头围', '六片式拼接设计升级经典外观层次', '可调节式扣带自由调整松紧程度', '正面醒目的刺绣星星标志，饰以撞色镶边']","['https://image.converse.com.cn/resources/product/10017710424/10017710424_1L_NEW.png?201906200100', 'https://image.converse.com.cn/resources/product/10017710424/10017710424_2S_NEW.png?201906200100']",8,men,1,https://www.converse.com.cn/product/10017710424/detail.htm
【男女同款】CONVERSE RENEW DAD CAP,10018574212,¥219.00,¥0,小麦色,['all'],[],"['https://image.converse.com.cn/resources/product/10018574212/10018574212_1L_NEW.png?201906200100', 'https://image.converse.com.cn/resources/product/10018574212/10018574212_2S_NEW.png?201906200100']",1,women,2,https://www.converse.com.cn/product/10018574212/detail.htm
【男女同款】Tipoff Chuck Patch Baseball HPS,10008476651,¥109.00,¥0,海岸粉,['all'],"['面料材质舒适，佩戴贴合头围', '可调节式扣带自由调整松紧程度', '正面All Star圆形logo定格经典', '固定弧形帽檐']","['https://image.converse.com.cn/resources/product/10008476651/10008476651_1L_NEW.png?201906200100', 'https://image.converse.com.cn/resources/product/10008476651/10008476651_2S_NEW.png?201906200100']",2,women,2,https://www.converse.com.cn/product/10008476651/detail.htm
【男女同款】Chuck Patch Refresh Snapback,10017292424,¥199.00,¥0,靛蓝色,['all'],"['面料材质舒适，佩戴贴合头围', '刺绣Chuck Taylor All Star贴片饰以绒线星星', '有型帽顶和平整帽檐', '六片式拼接帽子结合背面扣带设计提升贴合感受']","['https://image.converse.com.cn/resources/product/10017292424/10017292424_1L_NEW.png?201906200100', 'https://image.converse.com.cn/resources/product/10017292424/10017292424_2S_NEW.png?201906200100']",3,women,2,https://www.converse.com.cn/product/10017292424/detail.htm
【男女同款】Chuck Patch Refresh Snapback,10017292102,¥199.00,¥0,雪白色,['all'],"['面料材质舒适，佩戴贴合头围', '刺绣Chuck Taylor All Star贴片饰以绒线星星', '有型帽顶和平整帽檐', '六片式拼接帽子结合背面扣带设计提升贴合感受']","['https://image.converse.com.cn/resources/product/10017292102/10017292102_1L_NEW.png?201906200100', 'https://image.converse.com.cn/resources/product/10017292102/10017292102_2S_NEW.png?201906200100']",4,women,2,https://www.converse.com.cn/product/10017292102/detail.htm
【男女同款】Chuck Patch Refresh Snapback,10017292001,¥199.00,¥0,墨黑色,['all'],"['面料材质舒适，佩戴贴合头围', '刺绣Chuck Taylor All Star贴片饰以绒线星星', '有型帽顶和平整帽檐', '六片式拼接帽子结合背面扣带设计提升贴合感受']","['https://image.converse.com.cn/resources/product/10017292001/10017292001_1L_NEW.png?201906200100', 'https://image.converse.com.cn/resources/product/10017292001/10017292001_2S_NEW.png?201906200100']",5,women,2,https://www.converse.com.cn/product/10017292001/detail.htm
【男女同款】Bucket,10017299001,¥199.00,¥0,墨黑色,['all'],"['简约的版型佩戴舒适，兼具经典与休闲气质', '面料材质触感细腻柔软，打造舒适佩戴感受', '正面星箭logo升级外观层次']","['https://image.converse.com.cn/resources/product/10017299001/10017299001_1L_NEW.png?201906200100', 'https://image.converse.com.cn/resources/product/10017299001/10017299001_2S_NEW.png?201906200100']",6,women,2,https://www.converse.com.cn/product/10017299001/detail.htm
【男女同款】APAC Baseball Star,10017710819,¥199.00,¥0,橘色/篝火橙,['all'],"['甄选舒适材质与立体剪裁，佩戴贴合头围', '六片式拼接设计升级经典外观层次', '可调节式扣带自由调整松紧程度', '正面醒目的刺绣星星标志，饰以撞色镶边']","['https://image.converse.com.cn/resources/product/10017710819/10017710819_1L_NEW.png?201906200100', 'https://image.converse.com.cn/resources/product/10017710819/10017710819_2S_NEW.png?201906200100']",7,women,2,https://www.converse.com.cn/product/10017710819/detail.htm
【男女同款】APAC Baseball Star,10017710424,¥199.00,¥0,暗暗夜黑色/爱琴海风暴蓝,['all'],"['甄选舒适材质与立体剪裁，佩戴贴合头围', '六片式拼接设计升级经典外观层次', '可调节式扣带自由调整松紧程度', '正面醒目的刺绣星星标志，饰以撞色镶边']","['https://image.converse.com.cn/resources/product/10017710424/10017710424_1L_NEW.png?201906200100', 'https://image.converse.com.cn/resources/product/10017710424/10017710424_2S_NEW.png?201906200100']",8,women,2,https://www.converse.com.cn/product/10017710424/detail.htm
